




Julian Date (days)   sc_1_X (km)   sc_1_Y (km)   sc_1_Z (km)   sc_1_V_X (km/s)   sc_1_V_Y (km/s)   sc_1_V_Z (km/s)
2463981.17217   142344418.61609   43709559.44428   -1187286.20231   -8.74258   28.61645   0.07292
2463981.53754   142065869.69286   44611128.28549   -1184962.84256   -8.92282   28.56048   0.07442
2463981.90290   141781642.18023   45510913.95208   -1182592.11804   -9.10271   28.50336   0.07593
2463982.26827   141491747.59547   46408880.52839   -1180174.12481   -9.28222   28.44511   0.07742
2463982.63363   141196197.68484   47304992.17450   -1177708.96084   -9.46136   28.38573   0.07892
2463982.99900   140895004.42308   48199213.12767   -1175196.72603   -9.64012   28.32521   0.08041
2463983.36436   140588180.01285   49091507.70382   -1172637.52215   -9.81849   28.26356   0.08190
2463983.72973   140275736.88426   49981840.29906   -1170031.45287   -9.99646   28.20078   0.08338
2463984.09510   139957687.69426   50870175.39106   -1167378.62378   -10.17402   28.13688   0.08486
2463984.46046   139634045.32613   51756477.54062   -1164679.14233   -10.35117   28.07185   0.08634
2463984.82583   139304822.88890   52640711.39307   -1161933.11785   -10.52791   28.00571   0.08781
2463985.19119   138970033.71676   53522841.67977   -1159140.66158   -10.70421   27.93844   0.08928
2463985.55656   138629691.36852   54402833.21953   -1156301.88660   -10.88009   27.87007   0.09075
2463985.92192   138283809.62699   55280650.92008   -1153416.90787   -11.05552   27.80058   0.09221
2463986.28729   137932402.49836   56156259.77952   -1150485.84223   -11.23050   27.72998   0.09367
2463986.65265   137575484.21163   57029624.88776   -1147508.80835   -11.40503   27.65828   0.09513
2463987.01802   137213069.21795   57900711.42794   -1144485.92676   -11.57910   27.58548   0.09658
2463987.38338   136845172.19001   58769484.67791   -1141417.31986   -11.75270   27.51158   0.09803
2463987.74875   136471808.02139   59635910.01161   -1138303.11187   -11.92582   27.43658   0.09947
2463988.11411   136092991.82594   60499952.90052   -1135143.42886   -12.09846   27.36048   0.10091
2463988.47948   135708738.93706   61361578.91508   -1131938.39871   -12.27061   27.28330   0.10235
2463988.84484   135319064.90708   62220753.72609   -1128688.15115   -12.44227   27.20503   0.10378
2463989.21021   134923985.50658   63077443.10615   -1125392.81772   -12.61342   27.12567   0.10521
2463989.57558   134523516.72367   63931612.93103   -1122052.53178   -12.78406   27.04524   0.10663
2463989.94094   134117674.76333   64783229.18110   -1118667.42849   -12.95418   26.96373   0.10805
2463990.30631   133706476.04667   65632257.94271   -1115237.64482   -13.12378   26.88114   0.10946
2463990.67167   133289937.21024   66478665.40960   -1111763.31953   -13.29285   26.79749   0.11087
